Datum von;Datum bis;Gesamt [MWh] Berechnete Auflösungen;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige [MWh] Berechnete Auflösungen
05.01.2015;12.01.2015;12.072.820,00;2.973.769,50;80.070,75;2.785.384,50;108.314,25;9.099.050,50
12.01.2015;19.01.2015;12.374.451,00;2.918.185,25;88.130,25;2.651.569,25;178.485,75;9.456.265,75
19.01.2015;26.01.2015;11.758.645,00;699.645,75;28.216,25;510.871,00;160.558,50;11.058.999,25
26.01.2015;02.02.2015;12.331.295,00;2.072.481,25;64.814,75;1.897.580,50;110.086,00;10.258.813,75
02.02.2015;09.02.2015;12.160.239,00;1.518.408,25;56.925,75;1.228.370,25;233.112,25;10.641.830,75
09.02.2015;16.02.2015;12.112.297,00;1.386.318,25;67.701,25;975.290,00;343.327,00;10.725.978,75
16.02.2015;23.02.2015;12.195.728,00;1.765.559,75;82.633,50;1.277.040,75;405.885,50;10.430.168,25
23.02.2015;02.03.2015;12.540.119,00;2.219.291,50;94.559,75;1.746.339,50;378.392,25;10.320.827,50
02.03.2015;09.03.2015;12.255.771,00;2.713.688,50;122.135,00;1.952.075,75;639.477,75;9.542.082,50
09.03.2015;16.03.2015;11.860.355,00;1.663.100,00;90.770,50;911.862,25;660.467,25;10.197.255,00
16.03.2015;23.03.2015;11.841.410,00;1.907.652,00;70.369,50;984.499,25;852.783,25;9.933.758,00
23.03.2015;30.03.2015;11.366.442,00;1.826.848,75;81.481,00;1.149.422,00;595.945,75;9.539.593,25
30.03.2015;06.04.2015;11.339.781,00;3.452.744,50;123.975,25;2.626.767,75;702.001,50;7.887.036,50
06.04.2015;13.04.2015;10.925.374,00;1.996.658,25;72.751,25;897.898,50;1.026.008,50;8.928.715,75
13.04.2015;20.04.2015;11.464.046,00;2.406.425,00;107.552,25;1.180.481,25;1.118.391,50;9.057.621,00
20.04.2015;27.04.2015;11.110.490,00;1.943.411,25;86.720,25;708.435,25;1.148.255,75;9.167.078,75
27.04.2015;04.05.2015;10.378.959,00;1.765.675,00;93.736,00;869.665,75;802.273,25;8.613.284,00
04.05.2015;11.05.2015;10.672.553,00;2.902.988,00;167.492,75;1.678.672,50;1.056.822,75;7.769.565,00
11.05.2015;18.05.2015;9.956.307,00;2.557.256,00;155.738,50;1.199.694,50;1.201.823,00;7.399.051,00
18.05.2015;25.05.2015;9.883.600,00;1.755.811,00;100.462,25;626.163,25;1.029.185,50;8.127.789,00
25.05.2015;01.06.2015;10.168.680,00;2.354.457,50;137.567,00;1.208.464,50;1.008.426,00;7.814.222,50
01.06.2015;08.06.2015;10.459.298,00;2.673.642,75;172.026,00;1.270.482,25;1.231.134,50;7.785.655,25
08.06.2015;15.06.2015;10.753.302,00;1.952.316,25;98.138,75;657.775,25;1.196.402,25;8.800.985,75
15.06.2015;22.06.2015;10.463.712,00;1.957.090,50;158.229,75;882.122,75;916.738,00;8.506.621,50
22.06.2015;29.06.2015;10.670.215,00;1.883.064,25;99.018,25;770.044,25;1.014.001,75;8.787.150,75
29.06.2015;06.07.2015;11.071.732,00;2.179.985,50;114.784,75;620.928,50;1.444.272,25;8.891.746,50
06.07.2015;13.07.2015;10.808.495,00;2.979.081,25;200.970,00;1.548.282,50;1.229.828,75;7.829.413,75
13.07.2015;20.07.2015;10.451.642,00;1.723.764,00;114.131,00;661.119,00;948.514,00;8.727.878,00
20.07.2015;27.07.2015;10.769.009,00;2.399.355,25;171.414,25;1.136.060,75;1.091.880,25;8.369.653,75
27.07.2015;03.08.2015;10.364.475,00;2.919.573,50;222.865,50;1.583.880,50;1.112.827,50;7.444.901,50
